-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 

Earring that offers insight\r\ninto speakers' minds.|----|Brincos que permitem averiguar os\r\npensamentos do seu interlocutor.|----|Un aro que permite averiguar\r\nlo que piensa tu interlocutor.

Accessory worn around the hip\r\nto heighten strength.|----|Acessório usado ao redor da cintura que\r\naumenta a força.|----|Un accesorio que se porta\r\nalrededor de la cintura\r\ny aumenta la fuerza del portador.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\ndel cinturón normal.

(REPETIDO)Far more effective than its standard counterpart.|----|Muito mais eficaz que seu equivalente comum.|----|Una versión aún más efectiva\r\ndel cinturón normal.

Belt adorned with blue crystals\r\nto heighten strength.|----|Cinturão adornado com cristais azuis\r\npara aumentar a força.|----|Un cinturón engalanado con cristales\r\nde color azul que aumentan la fuerza\r\nde su portador.

Belt bearing the Goblin's Drop\r\nthat adds immense strength.|----|Cinturão que porta uma lágrima de duende\r\ne outorga uma imensa força.|----|Un cinturón engastado\r\ncon una lágrima de trasgo.\r\nOtorga una fuerza sobrehumana.

Belt bearing the Boggart's Trapezoid that\r\nadds immense strength.|----|Cinturão que porta o Cristal de Gnomo\r\ne outorga uma imensa força.|----|Un cinturón engastado\r\ncon un cristal gnómico.\r\nOtorga una fuerza sobrehumana.

Belt bearing the Kobold's Halfdutch that\r\nadds immense strength.|----|Cinturão que traz o Cabochão de Kobold\r\ne outorga uma imensa força.|----|Un cinturón engastado\r\ncon un cabujón de kobold.\r\nOtorga una fuerza sobrehumana.

Belt crafted in Ghor that\r\nheightens strength.|----|Cinturão fabricado em Ghor que\r\naumenta a força.|----|Un cinto creado en Ghor\r\nque eleva la fuerza del portador.

Belt fashioned from the fragments of an idol,\r\nenchanted by a mysterious power.|----|Cinturão elaborado a partir dos fragmentos de um\r\nídolo e encantado com um misterioso poder.|----|Un cinturón elaborado\r\ncon los restos de un tótem.\r\nEncierra un misterioso poder...

Belt worn by Snievan of the Seven.|----|Cinturão usado por Snievan, um dos sete generais.|----|Un cinturón que perteneció a Snievan,\r\nuno de los siete generales.

Belt made from a carapace,\r\nworn to heighten strength.|----|Cinturão feito a partir de uma carapaça,\r\nusado para aumentar a força.|----|Un cinturón hecho de caparazón\r\nque aumenta la fuerza del portador.

Belt made from shells,\r\nworn to heighten strength.|----|Cinturão feito de conchas,\r\nusado para aumentar a força.|----|Un cinturón hecho de conchas\r\nque aumenta la fuerza del portador.

Belt made of leather,\r\nworn to heighten strength.|----|Cinturão feito de couro,\r\nusado para aumentar a força.|----|Un cinturón hecho de cuero\r\nque aumenta la fuerza del portador.

Belt made from tails,\r\nworn to heighten strength.|----|Cinturão feito de caudas,\r\nusado para aumentar a força.|----|Un cinturón hecho de colas\r\nque aumenta la fuerza del portador.

Belt made of linen,\r\nworn to heighten strength.|----|Cinturão feito de linho,\r\nusado para aumentar a força.|----|Un cinturón hecho de lino\r\nque aumenta la fuerza del portador.

Belt made of cotton,\r\nworn to heighten strength.|----|Cinturão feito de algodão,\r\nusado para aumentar a força.|----|Un cinturón hecho de algodón\r\nque aumenta la fuerza del portador.

Belt made of angora,\r\nworn to heighten strength.|----|Cinturão feito de lã,\r\nusado para aumentar a força.|----|Un cinturón hecho de lana\r\nque aumenta la fuerza del portador.

Belt made of alpaca,\r\nworn to heighten strength.|----|Cinturão feito de alpaca,\r\nusado para aumentar a força.|----|Un cinturón hecho de alpaca\r\nque aumenta la fuerza del portador.

Belt made of rubber,\r\nworn to heighten strength.|----|Cinturão feito de borracha,\r\nusado para aumentar a força.|----|Un cinturón hecho de goma\r\nque aumenta la fuerza del portador.

Belt made from pelts,\r\nworn to heighten strength.|----|Cinturão feito de peles,\r\nusado para aumentar a força.|----|Un cinturón hecho de pieles\r\nque aumenta la fuerza del portador.

Belt that promises to maximize potential\r\nand heighten strength.|----|Cinturão que ajuda seu portador a usar seu máximo pontencial\r\ne aumenta sua força.|----|Un cinturón que ayuda al portador\r\na desarrollar al máximo su potencial\r\ny aumenta su fuerza.

Belt worn by the ancient masters to\r\nheighten strength.|----|Cinturão usado por mestres da antiguidade para\r\naumentar a força.|----|Un cinturón que solían llevar los maestros\r\nde la antigüedad para aumentar su fuerza.

Belt that yearns to be free of restrictions.|----|Cinturão que anseia libertar-se de todo tipo de\r\nrestrições.|----|Un cinturón que anhela liberarse\r\nde todo tipo de restricciones.

Belt to which go the spoils of the victor.|----|Cinturão que atrai para si os espólios da guerra.|----|Un cinturón que atrae para sí\r\nlos despojos de la guerra.

Belt worn in solitude as an act of contrition.|----|Cinturão usado pelos reclusos como penitência pelos seus pecados.|----|Un cinturón que llevan quienes\r\nse recluyen como penitencia\r\npor sus pecados.

Accessory clasped to the legs to enhance\r\nspeed.|----|Acessório que se usa nas pernas para melhorar\r\na velocidade.|----|Un accesorio que se porta\r\nen las piernas para mejorar\r\nla velocidad del portador.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\nde las grebas normales.

(REPETIDO)Far more effective than its standard\r\ncounterpart.|----|Muito mais eficaz que seu equivalente\r\ncomum.|----|Una versión aún más efectiva\r\nde las grebas normales.

Anklets of serpentine crystal,\r\nworn to enhance speed.|----|Tornozeleiras de cristais serpentinos,\r\nusadas para aumentar a velocidade.|----|Una tobillera hecha de cristal serpentino\r\nque aumenta la velocidad de su portador.

Anklets of iridescent crystal,\r\nworn to enhance speed.|----|Tornozeleiras de cristais iridescentes,\r\nusadas para aumentar a velocidade.|----|Una tobillera hecha de cristal iridiscente\r\nque aumenta la velocidad de su portador.

Anklets of blacksteel,\r\nworn to enhance speed.|----|Tornozeleiras de aço negro,\r\nusadas para aumentar a velocidade.|----|Una tobillera hecha de sombracero\r\nque aumenta la velocidad de su portador.

Anklets adorned with white crystals,\r\nworn to enhance speed.|----|Tornozeleiras adornadas com cristais brancos,\r\nusadas para aumentar a velocidade.|----|Unas grebas engalanadas con cristales\r\nde color blanco que aumentan el poder\r\nque aumenta la velocidad de su portador.

Anklets bearing the Oberon's Baguette that\r\nrenders a vast improvement in speed.|----|Tornozeleiras decoradas com o Prisma de Oberon,\r\nmelhorando muito a velocidade.|----|Una tobillera decorada con\r\nel prisma de Oberón que otorga\r\nal portador una velocidad sobrenatural.

Anklets bearing the Siren's Square that\r\nrenders a vast improvement in speed.|----|Tornozeleiras que trazem o Quadrado da Sereia,\r\nmelhorando muito a velocidade.|----|Una tobillera con la princesa \r\nde sirena que otorga al portador\r\nuna velocidad sobrenatural.

Anklets bearing the Kelpie's Single that\r\nrenders a vast improvement in speed.|----|Tornozeleiras que trazem o Solitário de Corcel,\r\nmelhorando muito a velocidade.|----|Una tobillera con la solitaria\r\nde corcel maldito que otorga\r\nal portador una gran velocidad.

Anklets crafted in Baaluk that enhance\r\nspeed.|----|Tornozeleiras fabricadas em Baaluk que aumentam\r\na velocidade.|----|Una tobillera forjada en Baaluk\r\nque aumenta la velocidad de su portador.

Anklets crafted in Balterossa that enhance\r\nspeed.|----|Tornozeleiras fabricadas em Balterossa que\r\naumentam a velocidade.|----|Una tobillera forjada en Balterossa\r\nque aumenta la velocidad de su portador.

Anklets fashioned from the fragments of\r\nan idol, enchanted by a mysterious power.|----|Tornozeleiras elaboradas a partir dos fragmentos de um\r\nídolo e encantadas com um misterioso poder.|----|Unas grebas elaboradas con los restos\r\nde un tótem. Encierran un misterioso poder...

Anklets made from a carapace,\r\nworn to enhance speed.|----|Tornozeleiras feitas de uma carapaça,\r\nusadas para aumentar a velocidade.|----|Unas grebas hechas de caparazón.\r\nAumentan la velocidad de su portador.

Anklets made from shells,\r\nworn to enhance speed.|----|Tornozeleiras feitas de conchas,\r\nusadas para aumentar a velocidade.|----|Unas grebas hechas de conchas.\r\nAumentan la velocidad de su portador.

Anklets made from horns,\r\nworn to enhance speed.|----|Tornozeleiras feitas de chifres,\r\nusadas para aumentar a velocidade.|----|Unas grebas hechas de cuernos.\r\nAumentan la velocidad de su portador.

Anklets made from fangs,\r\nworn to enhance speed.|----|Tornozeleiras feitas de presas,\r\nusadas para aumentar a velocidade.|----|Unas grebas hechas de colmillos.\r\nAumentan la velocidad de su portador.

Anklets made from bones,\r\nworn to enhance speed.|----|Tornozeleiras feitas de ossos,\r\nusadas para aumentar a velocidade.|----|Unas grebas hechas de huesos.\r\nAumentan la velocidad de su portador.

Anklets of polished Tashlon clamshells,\r\nworn to enhance speed.|----|Tornozeleiras feitas de conchas polidas de tashlon,\r\nusadas para aumentar a velocidade.|----|Unas tobilleras elaboradas con conchas\r\nde tashlon primorosamente pulidas.\r\nAumentan la velocidad de su portador.

Anklets of refined Surgill roots,\r\nworn to enhance speed.|----|Tornozeleiras feitas com raízes refinadas de surgill,\r\nusadas para aumentar a velocidade.|----|Unas tobilleras elaboradas con raíces\r\nrefinadas del árbol de cargill. Aumentan\r\nla velocidad de su portador.

Anklets that stave off the cold\r\nas they enhance speed.|----|Tornozeleiras que protegem do frio ao mesmo\r\ntempo em que aumentam a velocidade.|----|Una prenda que protege del frío al tiempo\r\nque aumenta la velocidad de su portador.

Anklets of tempered dragonscales,\r\nworn to enhance speed.|----|Tornozeleiras feitas de escamas de dragão temperadas,\r\nusadas para aumentar a velocidade.|----|Unas tobilleras forjadas con escamas\r\nde dragón templadas. Aumentan la velocidad\r\ndel portador.

Anklets carried on the momentum of one\r\ntriumphant thrill to the next.|----|Tornozeleiras que conduzem seu portador\r\naté a vitória.|----|Unas tobilleras que conducen\r\na su portador hacia la victoria.

Anklets that wallow constantly\r\nin the agony of defeat.|----|Tornozeleiras que fazem seu portador se remoer constantemente\r\nna agonia de uma derrota.|----|Unas tobilleras que hacen que su portador\r\nse regodee constantemente en el dolor\r\nde la derrota.

Anklets that transport all who\r\nbehold them to another world.|----|Tornozeleiras que transportam para outro mundo\r\ntodos aqueles que a contemplam.|----|Unas tobilleras que transportan a un mundo\r\nde fantasía a todos cuantos las contemplan.

Accessory worn to raise AP.|----|Acessório usado para aumentar os PA.|----|Un accesorio que aumenta los PA.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\ndel amuleto normal.

(REPETIDO)Far more effective than its standard counterpart.|----|Muito mais eficaz que seu equivalente comum.|----|Una versión aún más efectiva\r\ndel amuleto normal.

Amulet of serpentine crystal,\r\nworn to raise AP.|----|Amuleto feito de cristais serpentinos,\r\nusado para aumentar os PA.|----|Un amuleto hecho de cristal serpentino\r\nque aumenta los PA del portador.

Amulet of iridescent crystal,\r\nworn to raise AP.|----|Amuleto feito de cristais iridescentes,\r\nusado para aumentar os PA.|----|Un amuleto hecho de cristal iridiscente\r\nque aumenta los PA del portador.

Amulet of blacksteel, worn to raise AP.|----|Amuleto feito de aço negro, usado para aumentar os PA.|----|Un amuleto hecho de sombracero\r\nque aumenta los PA del portador.

Amulet crafted in Celapaleis that raises AP.|----|Amuleto criado em Celapaleis que aumenta os PA.|----|Un amuleto creado en Celapalais\r\nque aumenta los PA del portador.

Amulet crafted in Royotia that raises AP.|----|Amuleto criado em Royotia que aumenta PA.|----|Un amuleto creado en Royotia\r\nque aumenta los PA del portador.

Amulet fashioned from the fragments of\r\nan idol, enchanted by a mysterious power.|----|Amuleto elaborado a partir dos fragmentos de um\r\nídolo e encantado com um misterioso poder.|----|Un amuleto elaborado con los restos\r\nde un tótem. Encierra un misterioso poder...

Charm made from horns, worn to raise AP.|----|Talismã feito de chifres, usado para aumentar os AP.|----|Un talismán hecho de cuernos\r\nque aumenta los PA del portador.

Charm made from fangs, worn to raise AP.|----|Talismã feito de presas, usado para aumentar os PA.|----|Un talismán hecho de colmillos\r\nque aumenta los PA del portador.

Charm made from bones, worn to raise AP.|----|Talismã feito de ossos, usado para aumentar os PA.|----|Un talismán hecho de huesos\r\nque aumenta los PA del portador.

Charm made from feathers, worn to raise AP.|----|Talismã feito de plumas, usado para aumentar os PA.|----|Un talismán hecho de plumas\r\nque aumenta los PA del portador.

Charm made from wings, worn to raise AP.|----|Talismã feito de asas, usado para aumentar os PA.|----|Un talismán hecho de alas\r\nque aumenta los PA del portador.

Charm made from eyes, worn to raise AP.|----|Talismã feito de olhos, usado para aumentar os PA.|----|Un talismán hecho de ojos\r\nque aumenta los PA del portador.

Amulet wrought of metal, worn to raise AP.|----|Amuleto forjado em metal, usado para aumentar os PA.|----|Un amuleto hecho de metal forjado\r\nque aumenta los PA del portador.

Amulet sculpted from animal carcasses\r\nworn to raise AP.|----|Amuleto esculpido a partir das carcaças de animais\r\nusado para aumentar os PA.|----|Un amuleto tallado a partir\r\nde huesos de animales.\r\nAumenta los PA del portador.
